95 70.0 0.019387755102 236.865862041 1.0[[ 0.15506954]][[ 0.999991]][[ 0.99999762]][[ 0.84732705]][[ 0.00060812]][[ 0.999982]]
171 74.0 0.0312271731191 204.627095011 1.0[[ 0.17832997]][[ 0.99998617]][[ 0.99999726]][[ 0.88995078]][[ 0.00069933]][[ 0.99997234]]
89 52.0 0.0329142011834 161.956121479 1.04[[ 0.08528825]][[ 0.99999243]][[ 0.99999869]][[ 0.90517176]][[ 0.00033446]][[ 0.99998486]]
48 40.0 0.03 280.778796984 1.0[[ 0.07753477]][[ 0.99999529]][[ 0.99999881]][[ 0.85507187]][[ 0.00030406]][[ 0.99999058]]
135 60.0 0.0375 128.374424339 1.0[[ 0.08528825]][[ 0.99998945]][[ 0.99999869]][[ 0.93373428]][[ 0.00033446]][[ 0.9999789]]
123 58.0 0.0365636147444 183.580106032 1.0[[ 0.11630215]][[ 0.99998998]][[ 0.99999821]][[ 0.90195989]][[ 0.00045609]][[ 0.99997997]]
164 68.0 0.0354671280277 190.068036262 1.0[[ 0.13180911]][[ 0.99998712]][[ 0.99999797]][[ 0.91457185]][[ 0.0005169]][[ 0.99997424]]
75 50.0 0.03 77.9979454959 1.0[[ 0.10854868]][[ 0.99999314]][[ 0.99999833]][[ 0.8613853]][[ 0.00042568]][[ 0.99998629]]
78 50.0 0.0312 366.69209152 1.0[[ 0.10854868]][[ 0.99999296]][[ 0.99999833]][[ 0.86538378]][[ 0.00042568]][[ 0.99998593]]
11 28.0 0.0140306122449 582.44079601 1.0[[ 0.06978129]][[ 0.99999791]][[ 0.99999893]][[ 0.65384562]][[ 0.00027365]][[ 0.99999583]]
219 110.0 0.0180991735537 27.3356476318 1.12244897959[[ 0.22485083]][[ 0.99998188]][[ 0.99999654]][[ 0.89454373]][[ 0.00088177]][[ 0.99996375]]
69 40.0 0.043125 236.96067485 1.0[[ 0.08528825]][[ 0.99999398]][[ 0.99999869]][[ 0.87777712]][[ 0.00033446]][[ 0.99998796]]
68 76.0 0.0117728531856 221.247711709 1.05555555556[[ 0.19383692]][[ 0.99999213]][[ 0.99999702]][[ 0.76635365]][[ 0.00076014]][[ 0.99998426]]
